Client ID,Client,Website,Status,Business Model,Industry,Service Category,Description
001,YogaLondon Ltd.,,Archived,D2C LeadGen,,Full Service,
002,Wellnow Group GmbH,,Archived,D2C Service,,Interims,
003,FoF Digital Limited,,Archived,D2C Digital Product,,Media Buying,
004,Digital Performance GmbH,,Archived,D2C Subscription,,Design,
005,TA Trust Agents Internet GmbH,,Archived,B2B LeadGen,,Consulting,
006,Clevver GmbH,,Archived,B2B LeadGen,,Media Buying,
007,Font Bundles Ltd,,Archived,D2C Digital Product,,Media Buying,
008,Panel Sell GmbH,,Archived,B2B LeadGen,,Media Buying,
009,mRaP GmbH - helloCash,,Active,B2B SaaS,,Media Buying,
010,EDLOE Finch,,Archived,D2C eCommerce,,Media Buying,
011,Proemion,,Archived,B2B LeadGen,,Consulting,
012,Simplesurance,,Archived,D2C Service,,Media Buying,
013,Eventinc GmbH,,Active,B2B LeadGen,,Consulting,
014,Vini e Distillati Angelo Delea SA,,Archived,D2C eCommerce,,Media Buying,
015,Barchitect BVBA (Amuerte),,Archived,D2C eCommerce,,Media Buying,
016,InStaff & Jobs GmbH,,Archived,B2B LeadGen,,Consulting,
017,WeddyPlace,,Archived,D2C Service,,Full Service,
018,Avrios International AG,,Archived,B2B SaaS,,Media Buying,
019,FitnFemale / Fitnessmagnet GmbH,,Archived,D2C eCommerce,,Media Buying,
020,Aeternitas Pte Ltd - Knirps,,Archived,D2C eCommerce,,Media Buying,
021,NOVELDO GmbH,,Archived,B2B LeadGen,,Consulting,
022,Knomo,,Archived,D2C eCommerce,,Others,
023,LasVegasKids,,Archived,D2C Service,,Media Buying,
024,NutraMilk,,Archived,D2C eCommerce,,Others,
025,Selise - Secure Link Services AG,,Archived,B2B LeadGen,,Consulting,
026,Klarna Bank AB (publ),,Archived,D2C Service,,Consulting,
027,Absolut Elyx,,Archived,D2C eCommerce,,Consulting,
027,Webaria,,Archived,B2B LeadGen,,Consulting,
028,Phaeton Energy Solutions GmbH (Sport Versand),,Archived,D2C eCommerce,,Media Buying,
029,KitBash3D LLC,,Archived,D2C Digital Product,,Media Buying,
030,Nano Hearing Tech Opco LLC,,Archived,D2C eCommerce,,Full Service,
031,PBC International BV (Pink Gellac),,Archived,D2C eCommerce,,Consulting,
032,BigMax - Golf Tech Golfartikelvertriebs GmbH,,Archived,D2C eCommerce,,Media Buying,
033,ERGO Direkt AG,,Archived,D2C Service,,Media Buying,
034,EURO GROW s.r.o. (King of Leds),,Archived,D2C eCommerce,,Media Buying,
035,CNCTeile24 GmbH,,Archived,B2B LeadGen,,Media Buying,
036,Uptitude KG,,Archived,D2C eCommerce,,Media Buying,
037,Wall Capital GmbH (FamilyPanda),,Archived,D2C eCommerce,,Media Buying,
038,ShopWerk UG (haftungsbeschränkt),,Archived,D2C eCommerce,,Media Buying,
039,Adviqo GmbH,,Archived,D2C Subscription,,Consulting,
040,E.H.B. Consulting GmbH (Nikimotion),,Archived,D2C eCommerce,,Media Buying,
041,Waboba AB,,Archived,D2C eCommerce,,Media Buying,
042,MyTrueAncestry AG,,Active,D2C Digital Product,,Full Service,
043,Pantaflix Technologies GmbH,,Archived,D2C Subscription,,Consulting,
044,Arena Strength,,Archived,D2C eCommerce,,Media Buying,
045,FoodMarble Digestive Health Limited,,Archived,D2C eCommerce,,Interims,
046,J&S Dental Lab,,Archived,D2C eCommerce,,Media Buying,
047,ROADFLY PTE LTD,,Archived,D2C Service,,Media Buying,
047,Stratgeist Pte Ltd,,Archived,D2C Service,,Media Buying,
048,Sunshine Smile GmbH,,Archived,D2C Subscription,,Interims,
049,JOA Enterprise Limited (Sofia Gray),,Archived,D2C eCommerce,,Consulting,
050,EOL Essence of Life GmbH (Christian Berlin),,Archived,D2C eCommerce,,Media Buying,
051,Shalin Shah (diabetesdietitians.org),,Archived,D2C Service,,Media Buying,
052,Herzsache GmbH,,Archived,D2C Service,,Media Buying,
053,Oviva AG,,Active,D2C Subscription,,Interims,
054,Manimal LLC,,Archived,D2C eCommerce,,Media Buying,
055,RISE global Management GmbH (DieShutzBox),,Archived,D2C eCommerce,,Media Buying,
056,Untamed Cat Food Ltd,,Archived,D2C eCommerce,,Media Buying,
057,Future State Brands Inc.,,Archived,D2C eCommerce,,Media Buying,
058,AFM Online LTD (POP Furnitures),,Archived,D2C eCommerce,,Media Buying,
059,etone Motion Analysis GmbH (VAHA),,Archived,D2C eCommerce,,Consulting,
060,Boutique Rugs LLC,,Archived,D2C eCommerce,,Media Buying,
061,SpiritDog Training LLC,,Archived,D2C Digital Product,,Media Buying,
062,MikeGillette.com,,Archived,D2C Digital Product,,Media Buying,
063,PEAK6 Group LLC,,Archived,B2B LeadGen,,Consulting,
064,Switzerland Multisearch AG (ISC-CX),,Active,B2B LeadGen,,Media Buying,
065,Dogo App UG,,Archived,D2C Subscription,,Media Buying,
066,Madmonk Beverages GmbH,,Archived,D2C eCommerce,,Media Buying,
067,Lakehaus Inc. (Jamble),,Archived,D2C Subscription,,Media Buying,
068,Groupe Hikster inc.,,Archived,D2C eCommerce,,Media Buying,
069,Rockon Bvba (Inge Rock),,Archived,D2C LeadGen,,Media Buying,
070,Instapage Inc.,,Archived,B2B SaaS,,Full Service,
071,Emost AG,,Archived,B2B LeadGen,,Media Buying,
072,Wunschhaus Architektur & Baukunst GmbH,,Archived,D2C LeadGen,,Media Buying,
073,Right Line Trading,,Archived,D2C Digital Product,,Media Buying,
074,The BuildClub,,Archived,B2B LeadGen,,Media Buying,
075,"Dr. Dobias Healing Solutions, Inc.",,Archived,D2C eCommerce,,Media Buying,
076,Topformer,,Archived,B2B LeadGen,,Full Service,
077,NuiNui SA,,Active,D2C eCommerce,,Full Service,
078,Get Blogged Limited,,Archived,B2B LeadGen,,Media Buying,
079,ViCAFE Espresso Bars AG,,Archived,D2C eCommerce,,Media Buying,
080,StepStone Deutschland GmbH,,Paused,D2C LeadGen,,Consulting,
081,Morningscore ApS,,Archived,B2B SaaS,,Media Buying,
082,candolio GmbH,,Archived,D2C LeadGen,,Media Buying,
083,Flow Lab GmbH,,Archived,D2C Subscription,,Media Buying,
084,Proxify AB,,Archived,B2B LeadGen,,Media Buying,
085,Leasing for Good UG (haftungsbeschränkt),,Archived,D2C eCommerce,,Media Buying,
086,Cleanhub GmbH,,Archived,B2B LeadGen,,Full Service,
087,EcoATM,,Archived,D2C Service,,Consulting,
088,The Watch Strap,,Archived,D2C eCommerce,,Media Buying,
089,Florian Ilgen,,Archived,B2B LeadGen,,Full Service,
090,THE FLOOX UG (haftungsbeschränkt),,Archived,D2C eCommerce,,Media Buying,
091,Questions pour une fine Bouche (FABLES),,Archived,D2C eCommerce,,Full Service,
092,Deezer S.A.,,Archived,D2C Subscription,,Consulting,
093,Loba Health GmbH,,Archived,D2C Subscription,,Full Service,
094,Chocri GmbH,,Archived,D2C eCommerce,,Media Buying,
095,AVM Online Handels GmbH (AlpenKraft),,Archived,D2C eCommerce,,Media Buying,
096,Green Grizzly GmbH (Wholey),,Archived,D2C eCommerce,,Full Service,
097,EMIRAT Handling & Fulfillment GmbH,,Archived,D2C eCommerce,,Design,
098,Gusher,,Archived,B2B LeadGen,,Design,
099,Crafty,,Archived,D2C Digital Product,,Media Buying,
101,Studentflex,,Archived,D2C LeadGen,,Media Buying,
103,VitHit Ltd,,Archived,D2C eCommerce,,Media Buying,
104,Novecore,,Archived,B2B LeadGen,,Media Buying,
105,Tweet Hunter,,Archived,B2B LeadGen,,Design,
106,Sanitaer Schweiz GmbH,,Archived,D2C eCommerce,,Media Buying,
107,Rebaid LLC,,Archived,B2B LeadGen,,Full Service,
109,treehut.co,,Archived,D2C eCommerce,,Full Service,
110,Behavioural Design Academy BV,,Archived,D2C LeadGen,,Full Service,
112,Status Labs,,Archived,D2C LeadGen,,Media Buying,
113,Essentra Components GmbH,,Active,B2B LeadGen,,Consulting,
114,ColdBru Digital,,Archived,B2B SaaS,,Design,
115,FLEAT. GmbH,,Archived,B2B LeadGen,,Consulting,
116,NEMA,,Archived,D2C eCommerce,,Media Buying,
117,pw-Internet Solutions GmbH,,Archived,D2C LeadGen,,Full Service,
118,Interactive Web Services FZE (k9ti.org),,Archived,D2C Digital Product,,Media Buying,
119,Stage Entertainment Marketing & Sales GmbH,,Active,D2C eCommerce,,Interims,
120,Orderfox AG,,Archived,D2C Service,,Media Buying,
121,Waterland,,Archived,B2B SaaS,,Consulting,
122,Eagle lsp Rechtsanwaltsgesellschaft GmbH,,Archived,B2B LeadGen,,Full Service,
123,"H2O Audio (Finnovate Group, LLC)",,Archived,D2C eCommerce,,Media Buying,
124,Hint America Inc.,,Active,D2C Subscription,,Media Buying,
125,Lingoda GmbH (Match Talent),,Active,D2C Service,,Full Service,
126,Interiorr,,Archived,D2C eCommerce,,Media Buying,
127,YAMAMOTO S.p.A.,,Active,D2C eCommerce,,Full Service,
128,Ritzy​ ​Charters​ ​LLC,,Active,D2C Service,,Full Service,
129,RLabs America Inc (Able App),,Archived,D2C Subscription,,Media Buying,
130,Poetica Studio LLC,,Archived,B2B SaaS,,Consulting,
131,Kranus Health GmbH,,Archived,D2C LeadGen,,Consulting,
132,"Connected Culture, Inc.",,Active,B2B LeadGen,,Consulting,
133,GET.ON Institut für Online Gesundheitstrainings GmbH (HelloGina),,Archived,D2C Service,,Full Service,
134,PIXL8 Inc. (B.O.S.S.),,Archived,D2C eCommerce,,Full Service,
135,Goodform AG,,Archived,D2C eCommerce,,Consulting,
136,Soly Germany Operations GmbH,,Archived,D2C LeadGen,,Consulting,
137,Envest Research Inc,,Archived,D2C Subscription,,Media Buying,
138,Le Falaf,,Archived,B2B LeadGen,,Full Service,
139,StartSteps Digital Education GmbH,,Archived,D2C LeadGen,,Media Buying,
140,Hello World SAS,,Active,D2C Subscription,,Full Service,
141,BIT - Beam Institute of Technology UG,,Archived,D2C LeadGen,,Full Service,
142,Youwish AS,,Archived,D2C eCommerce,,Media Buying,
143,SchoolStatus LLC,,Active,B2B SaaS,,Consulting,
144,Ashera GmbH,,Archived,D2C eCommerce,,Full Service,
145,Lingoda GmbH (Match Pflege),,Archived,D2C Service,,Full Service,
146,Assivo Inc.,,Archived,B2B LeadGen,,Full Service,
147,The Newco S.r.l.,,Archived,D2C LeadGen,,Media Buying,
148,ZWILLING J.A. Henckels AG,,Active,D2C eCommerce,,Media Buying,
149,EasyMorph Inc.,,Archived,B2B SaaS,,Full Service,
150,Jotta AS (Jottacloud),,Active,D2C LeadGen,,Full Service,
151,Smartprofit Finder AG,,Active,D2C LeadGen,,Full Service,
152,Wesenberg Musik & Bildung GmbH (Piano University),,Archived,D2C Subscription,,Full Service,
153,Filemail AS,,Archived,D2C LeadGen,,Full Service,
154,WinTech Digital LLC (Cerebrum IQ),,Archived,D2C Subscription,,Media Buying,
155,Gismart Limited,,Archived,D2C Subscription,,Media Buying,
156,DatingSphere Inc.,,Active,D2C Subscription,,Full Service,
157,Oviva UK Ltd,,Paused,D2C Subscription,,Full Service,
158,GWD Concept sp. z o. o. (Displate),,Archived,D2C eCommerce,,Consulting,
159,Moonfare GmbH,,Active,B2B LeadGen,,Interims,
160,My Tutor Web Limited,,Archived,D2C LeadGen,,Media Buying,
161,Power Peptides LLC,,Archived,D2C eCommerce,,Media Buying,
162,Southwind Commerce LLC (Local Beach),,Active,D2C eCommerce,,Media Buying,
163,ClarityCheck Inc.,,Active,D2C Subscription,,Media Buying,
164,Growth Vision Partners LLC (R&L),,Archived,D2C eCommerce,,Consulting,
165,Immobilien Scout GmbH,,Active,D2C LeadGen,,Media Buying,
166,Control Plane Corp.,,Active,B2B LeadGen,,Full Service,
167,WinTech Digital LLC (Love Thrive),,Archived,D2C Subscription,,Media Buying,
168,pep8 d.o.o. (Microfeller),,Active,B2B LeadGen,,Full Service,
169,Aspect Health Global Inc,,Archived,D2C Subscription,,Media Buying,
170,Awaken180 Inc.,,Active,D2C LeadGen,,Full Service,
171,"Dr. Beasley's, Inc.",,Archived,D2C eCommerce,,Media Buying,
172,BioBuilds S.R.L.,,Active,D2C LeadGen,,Media Buying,
173,Flex Pricing LLC,,Archived,B2B LeadGen,,Full Service,
174,GetPaid Inc. (Tofu),,Archived,D2C LeadGen,,Media Buying,
175,FINGREEN SAS,,Archived,B2B SaaS,,Full Service,
176,Dragon Digital Marketing LLC,,Active,D2C LeadGen,,Media Buying,
177,RLabs Europe Ltd (ZenDocs),,Active,D2C Subscription,,Media Buying,
178,"My IQ (Envest Research, Inc.)",,Active,D2C Subscription,,Media Buying,
179,GIK Acoustics Europe Ltd.,,Active,D2C eCommerce,,Media Buying,
180,Wild Lovers Limited,,Active,D2C eCommerce,,Media Buying,
181,Sesterce SAS,,Active,B2B SaaS,,Full Service,
182,Avocado communications GmbH (Seoul Onni),,Active,D2C eCommerce,,Media Buying,
183,Stellans LLC,,Active,B2B LeadGen,,Full Service,
184,YSL LLC (YieldSchool),,Active,D2C Subscription,,Full Service,
185,,,,,,,